text,joy,sadness,anger,love,thankfulness,fear
"Tom did play hookey, and he had a very good time.",0.573,0.463,0.914,0.266,0.630,0.622
"Diligence and attention soon gave him the knack of it, and he strode down the street with his mouth full of harmony and his soul full of gratitude. ,",0.838,0.510,0.742,0.768,0.238,0.153
"He felt much as an astronomer feels who has discovered a new planet�no doubt, as far as strong, deep, unalloyed pleasure is concerned, the advantage was with the boy, not the astronomer.",0.163,0.405,0.634,0.861,0.542,0.123
"�Oh, you think you�re mighty smart, don�t you? I could lick you with one hand tied behind me, if I wanted to.�",0.120,0.595,0.270,0.667,0.107,0.780
"You�re a coward and a pup. I�ll tell my big brother on you, and he can thrash you with his little finger, and I�ll make him do it, too.",0.236,0.483,0.947,0.725,0.412,0.076
"He got home pretty late that night, and when he climbed cautiously in at the window",0.220,0.216,0.179,0.753,0.982,0.030
when she saw the state his clothes were in her resolution to turn his Saturday holiday into captivity at hard labor became adamantine in its firmness.,0.530,0.918,0.315,0.827,0.990,0.029
There was a song in every heart; and if the heart was young the music issued at the lips.,0.257,0.107,0.834,0.210,0.994,0.009
"He surveyed the fence, and all gladness left him and a deep melancholy settled down upon his spirit.",0.414,0.490,0.913,0.545,0.265,0.209
"He began to think of the fun he had planned for this day, and his sorrows multiplied.",0.888,0.654,0.739,0.795,0.264,0.128
Soon the free boys would come tripping along on all sorts of delicious expeditions ,0.183,0.330,0.884,0.158,0.010,0.171
they would make a world of fun of him for having to work�the very thought of it burnt him like fire. ,0.047,0.284,0.727,0.005,0.930,0.376
"Tom gave up the brush with reluctance in his face, but alacrity in his heart. ",0.339,0.545,0.933,0.868,0.628,0.307
The boy mused awhile over the substantial change which had taken place in his worldly circumstances. ,0.698,0.815,0.849,0.246,0.333,0.681
"�Tom, don�t lie to me�I can�t bear it.�",0.612,0.252,0.647,0.550,0.425,0.391
She was so overcome by the splendor of his achievement that she took him into the closet and selected a choice apple and delivered it to him,0.193,0.168,0.659,0.911,0.707,0.449
"Tom�s army won a great victory, after a long and hard-fought battle.",0.255,0.074,0.079,0.517,0.036,0.246
He had thought he loved her to distraction; he had regarded his passion as adoration; ,0.490,0.919,0.115,0.619,0.476,0.181
"But his face lit up, right away, for she tossed a pansy over the fence a moment before she disappeared. ",0.407,0.920,0.962,0.462,0.473,0.144
"�Hold on, now, what �er you belting me for?�Sid broke it!�",0.437,0.624,0.781,0.495,0.770,0.328
"Aunt Polly paused, perplexed, and Tom looked for healing pity. ",0.466,0.642,0.317,0.855,0.547,0.063
