text,joy,sadness,anger,love,thankfulness,fear
"The Princess Alicia, who happened to be looking in at the chamber-door, asking about breakfast, was very much alarmed when she saw her Royal Mamma in this state.",0.097,0.961,0.686,0.966,0.982,0.049
I am sick of your grown-up reasons.,0.564,0.705,0.584,0.176,0.327,0.839
"They jumped for joy when they heard that, and began making themselves cooks� caps out of old newspapers.",0.457,0.230,0.755,0.393,0.374,0.181
"�What have you been doing, Alicia?� �Cooking and contriving, Papa.� �What else have you been doing, Alicia?� �Keeping the children light-hearted, Papa.�",0.822,0.915,0.048,0.749,0.665,0.085
"By and by the broth was done, and the baby woke up smiling like an angel.",0.607,0.057,0.424,0.712,0.991,0.122
"On hearing such good news, everybody cried out �Hip hip hip hurrah!� again.",0.784,0.348,0.591,0.052,0.850,0.418
"My dears, you will have thirty-five children, and they will all be good and beautiful",0.105,0.993,0.481,0.980,0.963,0.113
"When Grandmarina had drunk her love to the young couple, and Prince Certainpersonio had made a speech. ",0.281,0.500,0.037,0.178,0.669,0.401
everybody had cried Hip hip hip hurrah! ,0.907,0.534,0.866,0.022,0.900,0.797
"The old lady became so very angry at this absurd idea, that the King was quite alarmed, and humbly begged her pardon. , anger",0.067,0.162,0.887,0.931,0.994,0.112
The King was extremely frightened by the old lady�s flying into such a passion.,0.576,0.143,0.879,0.918,0.953,0.119
"he said he was very sorry to have offended her, and he wouldn�t ask for reasons any more. ",0.428,0.307,0.235,0.602,0.640,0.048
"And when she had enjoyed it very much, he saw the fish-bone on her plate. ",0.259,0.940,0.271,0.297,0.455,0.160
"�Don�t be impatient, sir,� returned the Fairy Grandmarina, scolding him severely. ",0.344,0.178,0.997,0.463,0.253,0.264
"She was very ill indeed, for a long time. ",0.738,0.285,0.602,0.339,0.918,0.041
"And so another time the dreadful little snapping pug-dog next door made a rush at one of the young Princes as he stood on the steps coming home from school, and terrified him out of his wits and he put his hand through a pane of glass, and bled bled bled.",0.758,0.716,0.901,0.958,0.374,0.401
"After that, she ran up-stairs to the Duchess and told her what had passed, and told her the secret over again, and the Duchess shook her flaxen curls and laughed with her rosy lips. ",0.894,0.328,0.093,0.924,0.947,0.078
"�I am afraid to lay him down yet, lest he should wake and feel pain, be good, and you shall all be cooks.� ",0.144,0.367,0.932,0.731,0.296,0.301
�Laugh and be good. ,0.342,0.494,0.306,0.596,0.253,0.417
"after dinner we will make him a nest on the floor in a corner, and he shall sit in his nest and see a dance of eighteen cooks.� ",0.461,0.964,0.901,0.892,0.178,0.217
That delighted the young Princes and Princesses. ,0.741,0.682,0.179,0.666,0.199,0.359
"the Princess Alicia in the smothering coarse apron that belonged to the cook that had run away with her own true love that was the very tall but very tipsy soldier, danced a dance of eighteen cooks before the angelic baby, who forgot his swelled face and his black eye, and crowed with joy.",0.365,0.369,0.087,0.941,0.717,0.144
"The King then sighed so heavily, and seemed so low-spirited, and sat down so miserably, leaning his head upon his hand. ",0.351,0.864,0.976,0.937,0.254,0.253
"This was the very secret connected with the magic fish-bone, which she had found out for herself from the good fairy Grandmarina�s words, and which she had so often whispered to her beautiful and fashionable friend the Duchess. ",0.827,0.939,0.734,0.980,0.620,0.314
"�I suppose you know the reason, now, why my god-Daughter here,� kissing the Princess again. ",0.192,0.874,0.338,0.702,0.211,0.284
"�Be good then,� said the Fairy, �and live happy ever afterwards.� ",0.508,0.531,0.005,0.197,0.240,0.437
"�Don�t be impatient, sir,� returned the Fairy Grandmarina, scolding him severely. ",0.344,0.178,0.997,0.463,0.253,0.264
"�Don�t catch people short, before they have done speaking. Just the way with you grown-up persons. You are always doing it.� ",0.160,0.117,0.800,0.653,0.437,0.087
"The old lady became so very angry at this absurd idea, that the King was quite alarmed, and humbly begged her pardon.",0.035,0.232,0.747,0.886,0.994,0.097
The Duchess smiled and nodded. ,0.607,0.978,0.482,0.923,0.757,0.302
"When the seventeen other young Princes and Princesses saw him bleed bleed bleed, they were terrified out of their wits too, and screamed themselves black in their seventeen faces all at once. ",0.071,0.120,0.128,0.949,0.991,0.010
"The way the poor little darling came to tumble was, that he slid out of the Princess Alicia�s lap just as she was sitting in a great coarse apron that quite smothered her. ",0.463,0.011,0.951,0.927,0.727,0.244
"Then she examined baby, and found that he hadn�t broken anything, and she held cold iron to his poor dear eye, and smoothed his poor dear face, and he presently fell asleep in her arms. ",0.575,0.494,0.768,0.583,0.915,0.154
"while the other Princes and Princesses were squeezed into a far-off corner to look at the Princess Alicia turning out the saucepan-full of broth, for fear (as they were always getting into trouble) they should get splashed and scalded. ",0.102,0.282,0.950,0.954,0.990,0.042
"When the broth came tumbling out, steaming beautifully, and smelling like a nosegay good to eat, they clapped their hands.",0.603,0.024,0.052,0.575,0.803,0.214
That made the baby clap his hands.,0.819,0.556,0.043,0.048,0.913,0.457
"his looking as if he had a comic toothache, made all the Princes and Princesses laugh. ",0.265,0.778,0.223,0.193,0.049,0.221
"the seventeen Princes and Princesses crept softly out of the kitchen, and left him alone with the Princess Alicia and the angelic baby.",0.056,0.839,0.635,0.986,0.976,0.064
"The Princess Alicia embraced her, and then Grandmarina turned to the King, and said rather sharply:��Are you good?�",0.055,0.926,0.297,0.992,0.815,0.328
"When he saw the Peacocks followed by the carriage, coming in at the window, it immediately occurred to him that something uncommon was going to happen. ",0.345,0.164,0.909,0.584,0.994,0.047
The marriage was beautiful beyond expression. ,0.417,0.916,0.540,0.313,0.985,0.255
"So she took it from the hand of the Princess Alicia, and it instantly flew down the throat of the dreadful little snapping pug-dog next door and choked him. ",0.535,0.242,0.630,0.980,0.507,0.247
he expired in convulsions. ,0.110,0.414,0.130,0.827,0.039,0.357
"Grandmarina gave a magnificent wedding feast afterwards, in which there was everything and more to eat, and everything and more to drink. ",0.535,0.465,0.442,0.876,0.904,0.092
�What a Trot you are! I couldn�t have done it better myself!�,0.460,0.081,0.500,0.482,0.123,0.938
