text,joy,sadness,anger,love,thankfulness,fear
"'Me Tiger Lily,' that lovely creature would reply.",0.084,0.063,0.193,0.241,0.069,0.909
Me no let pirates hurt him.,0.548,0.943,0.073,0.638,0.080,0.322
It is good. Peter Pan has spoken.,0.430,0.035,0.313,0.278,0.611,0.334
"They said 'How-do?' to them, and things like that; and what annoyed the boys was that Peter seemed to think this all right.",0.271,0.081,0.965,0.068,0.981,0.056
"Secretly Wendy sympathised with them a little, but she was far too loyal a housewife to listen to any complaints against father.",0.878,0.701,0.990,0.262,0.813,0.179
I complain of so-and-so,0.473,0.290,0.179,0.764,0.214,0.299
"'Silence,' cried Wendy when for the twentieth time she had told them that they were not all to speak at once.",0.402,0.617,0.518,0.087,0.995,0.013
"He was so much the humblest of them, indeed he was the only humble one, that Wendy was specially gentle with him.",0.038,0.169,0.939,0.128,0.920,0.034
"'No, I won’t,' Michael rapped out. He was already in his basket.",0.193,0.477,0.241,0.701,0.317,0.246
While she sewed they played around her; such a group of happy faces and dancing limbs lit up by that romantic fire.,0.395,0.402,0.306,0.045,0.494,0.131
"Peter was really the best dancer among them, but he pretended to be scandalised.",0.219,0.106,0.656,0.445,0.820,0.399
"'It is sweet, Peter, isn’t it?' Wendy said, frightfully gratified. 'Peter, I think Curly has your nose.'",0.077,0.681,0.057,0.740,0.766,0.176
"Ah, now we are rewarded for our sublime faith in a mother’s love.",0.188,0.537,0.141,0.629,0.910,0.346
"Such a deliciously creepy song it was, in which they pretended to be frightened at their own shadows, little witting that so soon shadows would close in upon them, from whom they would shrink in real fear.",0.144,0.048,0.761,0.007,0.993,0.069
"Now these three children had a faithful nurse called Nana; but Mr. Darling was angry with her and chained her up in the yard, and so all the children flew away.",0.452,0.510,0.462,0.846,0.928,0.080
'Hush. Now I want you to consider the feelings of the unhappy parents with all their children flown away.',0.472,0.850,0.652,0.654,0.634,0.289
"They all gathered round him in affright, so alarming was his agitation; and with a fine candour he told them what he had hitherto concealed.",0.504,0.322,0.527,0.899,0.900,0.143
"This dread made her forgetful of what must be Peter’s feelings, and she said to him rather sharply, 'Peter, will you make the necessary arrangements?'",0.180,0.369,0.481,0.709,0.650,0.411
"'It will be worse than before she came,' they cried.",0.039,0.389,0.073,0.551,0.651,0.332
"'Who are you? How dare you? Go away,' she cried.",0.560,0.647,0.034,0.040,0.453,0.182
"'She says she won’t!' Nibs exclaimed, aghast at such insubordination, whereupon Peter went sternly toward the young lady’s chamber.",0.841,0.711,0.446,0.873,0.983,0.022
I am going to give you your medicine before you go,0.657,0.557,0.521,0.185,0.493,0.353
"No, no,' he told Wendy decisively",0.446,0.727,0.016,0.375,0.019,0.123
"'If the redskins have won,' he said, 'they will beat the tom-tom; it is always their sign of victory.'",0.814,0.193,0.144,0.731,0.104,0.557
"'It’s awfully sad,' the first twin said cheerfully.",0.871,0.438,0.966,0.729,0.942,0.345
"'O Wendy, who is she?' cried Nibs, every bit as excited as if he didn’t know.",0.043,0.883,0.354,0.843,0.080,0.136
"They all gathered round him in affright, so alarming was his agitation; and with a fine candour he told them what he had hitherto concealed.",0.504,0.322,0.527,0.899,0.900,0.143
Still it is best to be careful; and no one knows so quickly as a child when he should give in.,0.273,0.260,0.258,0.909,0.151,0.139
"'At once,' Wendy replied resolutely, for the horrible thought had come to her: 'Perhaps mother is in half mourning by this time.'",0.448,0.686,0.034,0.506,0.218,0.471
"'Tootles,' she cried, 'I appeal to you.'",0.134,0.465,0.053,0.054,0.077,0.692
"'Thank you, Peter.'",0.472,0.072,0.136,0.025,0.043,0.738
"'Tink,' he rapped out, 'if you don’t get up and dress at once I will open the curtains, and then we shall all see you in your negligée.'",0.494,0.857,0.034,0.782,0.972,0.060
"'All right,' Peter replied with a bitter smile, and immediately they rushed to get their things.",0.274,0.068,0.451,0.374,0.885,0.196
"'No,' he answered, pretending indifference, 'I am not going with you, Wendy.'",0.118,0.701,0.122,0.548,0.043,0.193
"'No, no,' he told Wendy decisively; 'perhaps she would say I was old, and I just want always to be a little boy and to have fun.'",0.380,0.588,0.347,0.807,0.282,0.455
"Peter not coming! They gazed blankly at him, their sticks over their backs, and on each stick a bundle.",0.303,0.174,0.891,0.496,0.996,0.014
"'What is it?' she asked, anxious about him at once.",0.031,0.669,0.046,0.705,0.980,0.008
'Do you mean we shall both be drowned?',0.166,0.969,0.025,0.619,0.267,0.605
"'It lifted Michael off the ground,' he cried; 'why should it not carry you?'",0.155,0.387,0.033,0.326,0.069,0.344
Then rather curiously they both snapped out the same remark: 'Shut up!',0.818,0.908,0.190,0.130,0.828,0.366
"Great were the rejoicings when Peter reached the home under the ground almost as soon as Wendy, who had been carried hither and thither by the kite.",0.733,0.358,0.671,0.866,0.852,0.306
"She drifted in one direction, and he was borne off in another, both cheering.",0.362,0.503,0.267,0.568,0.953,0.133
"'You dunderheaded little jay!' she screamed, 'Why don’t you do as I tell you?'",0.790,0.590,0.004,0.248,0.034,0.101
The Never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
"Peter, always sympathetic to the weaker side, could not help clapping; it was such a gallant piece of paper.",0.337,0.387,0.831,0.246,0.849,0.457
'I complain of so-and-so;' but what usually happened was that they forgot to do this or did it too much.,0.054,0.443,0.780,0.849,0.963,0.025
"This was grumbling. 'We complain of John,' cried the twins.",0.144,0.135,0.393,0.637,0.877,0.417
"'Dance away, my little man,' said Peter, who was in high good humour.",0.807,0.055,0.320,0.605,0.636,0.821
"'I am awfully glad she isn’t dead,' said Tootles.",0.004,0.747,0.108,0.798,0.039,0.153
"'It’s an awfully good story,' said Nibs.",0.089,0.384,0.349,0.532,0.324,0.512
