text,joy,sadness,anger,love,thankfulness,fear
"All children, except one, grow up.",0.566,0.429,0.641,0.394,0.586,0.269
"They soon know that they will grow up, and the way Wendy knew was this.",0.175,0.494,0.574,0.765,0.963,0.058
"One day when she was two years old she was playing in a garden, and she plucked another flower and ran with it to her mother.",0.183,0.276,0.917,0.483,0.945,0.052
"I suppose she must have looked rather delightful, for Mrs. Darling put her hand to her heart and cried, Oh, why can't you remain like this for ever!",0.460,0.931,0.035,0.520,0.908,0.107
"This was all that passed between them on the subject, but henceforth Wendy knew that she must grow up.",0.205,0.562,0.871,0.816,0.921,0.150
You always know after you are two.,0.867,0.109,0.062,0.364,0.797,0.352
Two is the beginning of the end.,0.147,0.424,0.110,0.961,0.108,0.019
"Of course they lived at 14, and until Wendy came her mother was the chief one.",0.615,0.232,0.669,0.397,0.989,0.022
"She was a lovely lady, with a romantic mind and such a sweet mocking mouth.",0.888,0.169,0.770,0.536,0.866,0.209
"Her romantic mind was like the tiny boxes, one within the other, that come from the puzzling East, however many you discover there is always one more; and her sweet mocking mouth had one kiss on it that Wendy could never get, though there it was, perfectly conspicuous in the right-hand corner.",0.567,0.819,0.952,0.967,0.686,0.296
"The way Mr. Darling won her was this: the many gentlemen who had been boys when she was a girl discovered simultaneously that they loved her, and they all ran to her house to propose to her except Mr. Darling, who took a cab and nipped in first, and so he got her.",0.130,0.467,0.578,0.881,0.961,0.124
"He got all of her, except the innermost box and the kiss.",0.084,0.317,0.862,0.406,0.078,0.176
"He never knew about the box, and in time he gave up trying for the kiss.",0.160,0.770,0.739,0.115,0.109,0.203
"Wendy thought Napoleon could have got it, but I can picture him trying, and then going off in a passion, slamming the door.",0.405,0.956,0.337,0.687,0.870,0.117
Mr. Darling used to boast to Wendy that her mother not only loved him but respected him.,0.144,0.715,0.632,0.108,0.580,0.124
He was one of those deep ones who know about stocks and shares.,0.022,0.072,0.962,0.845,0.589,0.260
"Of course no one really knows, but he quite seemed to know, and he often said stocks were up and shares were down in a way that would have made any woman respect him.",0.063,0.230,0.781,0.597,0.930,0.101
"Mrs. Darling was married in white, and at first she kept the books perfectly, almost gleefully, as if it were a game, not so much as a Brussels sprout was missing; but by and by whole cauliflowers dropped out, and instead of them there were pictures of babies without faces.",0.273,0.690,0.484,0.869,0.875,0.474
She drew them when she should have been totting up.,0.497,0.440,0.135,0.421,0.147,0.098
They were Mrs. Darling's guesses.,0.098,0.293,0.104,0.457,0.990,0.137
"Wendy came first, then John, then Michael.",0.361,0.922,0.019,0.301,0.091,0.299
"For a week or two after Wendy came it was doubtful whether they would be able to keep her, as she was another mouth to feed.",0.863,0.179,0.721,0.509,0.967,0.092
"Mr. Darling was frightfully proud of her, but he was very honourable, and he sat on the edge of Mrs. Darling's bed, holding her hand and calculating expenses, while she looked at him imploringly.",0.247,0.721,0.680,0.929,0.994,0.012
