text,joy,sadness,anger,fear
There is no doubt whatever about that.,0.116,0.500,0.052,0.062
"The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.",0.497,0.691,0.922,0.345
And Scrooge's name was good upon 'Change for anything he chose to put his hand to.,0.367,0.772,0.518,0.244
"I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.",0.243,0.489,0.378,0.172
"I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.",0.542,0.152,0.374,0.349
"But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.",0.712,0.258,0.876,0.311
"You will, therefore, permit me to repeat, emphatically, that Marley was as dead as a door-nail.",0.502,0.148,0.871,0.068
Scrooge and he were partners for I don't know how many years.,0.609,0.807,0.226,0.150
"Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.",0.843,0.740,0.972,0.286
"And even Scrooge was not so dreadfully cut up by the sad event, but that he was an excellent man of business on the very day of the funeral, and solemnised it with an undoubted bargain.",0.283,0.567,0.920,0.315
The mention of Marley's funeral brings me back to the point I started from.,0.816,0.214,0.286,0.378
There is no doubt that Marley was dead.,0.001,0.098,0.901,0.101
"This must be distinctly understood, or nothing wonderful can come of the story I am going to relate.",0.127,0.795,0.745,0.273
"If we were not perfectly convinced that Hamlet's Father died before the play began, there would be nothing more remarkable in his taking a stroll at night, in an easterly wind, upon his own ramparts, than there would be in any other middle-aged gentleman rashly turning out after dark in a breezy spot--say St. Paul's Church-yard, for instance--literally to astonish his son's weak mind.",0.899,0.654,0.579,0.389
"There it stood, years afterwards, above the warehouse door: Scrooge and Marley.",0.649,0.222,0.106,0.259
The firm was known as Scrooge and Marley.,0.050,0.035,0.852,0.450
"Sometimes people new to the business called Scrooge Scrooge, and sometimes Marley, but he answered to both names.",0.232,0.780,0.876,0.279
"a squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner!",0.834,0.921,0.957,0.309
"Hard and sharp as flint, from which no steel had ever struck out generous fire; secret, and self-contained, and solitary as an oyster.",0.875,0.116,0.394,0.443
"The cold within him froze his old features, nipped his pointed nose, shrivelled his cheek, stiffened his gait; made his eyes red, his thin lips blue; and spoke out shrewdly in his grating voice.",0.876,0.807,0.008,0.438
"A frosty rime was on his head, and on his eyebrows, and his wiry chin.",0.632,0.110,0.793,0.262
