text,joy,sadness,anger,love,thankfulness,fear
I suppose she must have looked rather delightful,0.049,0.891,0.514,0.563,0.823,0.022
Mrs. Darling put her hand to her heart and cried,0.598,0.601,0.214,0.338,0.531,0.404
"She was a lovely lady, with a romantic mind and such a sweet mocking mouth.",0.888,0.169,0.770,0.536,0.866,0.209
"Her romantic mind was like the tiny boxes, one within the other, that come from the puzzling East",0.410,0.341,0.418,0.646,0.737,0.114
"her sweet mocking mouth had one kiss on it that Wendy could never get, though there it was, perfectly conspicuous in the right-hand corner.",0.309,0.797,0.939,0.860,0.712,0.250
the many gentlemen who had been boys when she was a girl discovered simultaneously that they loved her,0.444,0.462,0.849,0.563,0.900,0.139
"Wendy thought Napoleon could have got it, but I can picture him trying, and then going off in a passion, slamming the door",0.405,0.956,0.337,0.687,0.870,0.117
Mr. Darling used to boast to Wendy that her mother not only loved him but respected him.,0.144,0.715,0.632,0.108,0.580,0.124
he often said stocks were up and shares were down in a way that would have made any woman respect him.,0.048,0.268,0.406,0.315,0.950,0.114
For a week or two after Wendy came it was doubtful whether they would be able to keep her,0.929,0.343,0.610,0.436,0.961,0.083
as she was another mouth to feed. Mr. Darling was frightfully proud of her,0.446,0.061,0.785,0.216,0.668,0.032
"but he was very honourable, and he sat on the edge of Mrs. Darlings bed, holding her hand and calculating expenses, while she looked at him imploringly.",0.341,0.814,0.688,0.905,0.995,0.013
"Of course we can, George, she cried",0.277,0.792,0.088,0.318,0.583,0.156
"Remember mumps, he warned her almost threateningly",0.928,0.956,0.363,0.697,0.157,0.292
There was the same excitement over John,0.146,0.357,0.836,0.305,0.938,0.259
Mrs. Darling loved to have everything just so,0.572,0.523,0.348,0.441,0.521,0.262
and was much hated by careless nursemaids,0.012,0.185,0.587,0.294,0.968,0.086
up at any moment of the night if one of her charges made the slightest cry,0.311,0.689,0.733,0.131,0.982,0.017
"I know she admires you tremendously, George",0.162,0.440,0.329,0.441,0.247,0.300
"Mrs. Darling would assure him, and then she would sign to the children to be specially nice to father",0.518,0.354,0.963,0.101,0.758,0.245
"Lovely dances followed, in which the only other servant",0.557,0.843,0.495,0.082,0.485,0.575
"And gayest of all was Mrs. Darling, who would pirouette so wildly that all you could see of her was the kiss",0.074,0.199,0.886,0.367,0.922,0.467
There never was a simpler happier family until the coming of Peter Pan.,0.447,0.191,0.630,0.012,0.982,0.142
"When you wake in the morning, the naughtiness and evil passions",0.957,0.368,0.963,0.434,0.387,0.329
"John had no friends, Michael had friends at night",0.399,0.514,0.053,0.348,0.990,0.011
"Yes, he is rather cocky",0.161,0.791,0.268,0.839,0.717,0.551
"There were odd stories about him, as that when children died he went part of the way with them",0.518,0.731,0.510,0.159,0.822,0.113
But it would not blow over and soon the troublesome boy gave Mrs. Darling quite a shock.,0.669,0.329,0.556,0.177,0.446,0.324
It is so naughty of him not to wipe his feet,0.597,0.777,0.943,0.610,0.046,0.404
"What nonsense you talk, precious. No one can get into the house without knocking",0.309,0.531,0.896,0.289,0.761,0.021
"My child, the mother cried, why did you not tell me of this before?",0.462,0.361,0.752,0.478,0.585,0.283
All were looking so safe and cosy that she smiled at her fears now and sat down tranquilly by the fire to sew,0.579,0.826,0.580,0.152,0.991,0.020
"Mrs. Darling screamed, and, as if in answer to a bell, the door opened, and Nana entered, returned from her evening out.",0.485,0.168,0.818,0.260,0.576,0.430
"She growled and sprang at the boy, who leapt lightly through the window.",0.346,0.714,0.378,0.412,0.991,0.077
"Again Mrs. Darling screamed, this time in distress for him, for she thought he was killed",0.858,0.578,0.352,0.123,0.917,0.068
But unfortunately Mrs. Darling could not leave it hanging out at the window,0.169,0.415,0.600,0.491,0.994,0.029
That fiend! Mr. Darling would cry,0.575,0.234,0.769,0.129,0.970,0.067
Wendy loved to lend her bracelet to her mother.,0.032,0.788,0.065,0.763,0.096,0.053
"I am happy to inform you, Mrs. Darling, that you are now a mother",0.606,0.822,0.693,0.208,0.863,0.287
"Michael had nearly cried. Nobody wants me, he said, and of course the lady in the evening-dress could not stand that.",0.690,0.129,0.675,0.455,0.394,0.236
Then he had leapt into her arms.,0.779,0.531,0.371,0.239,0.041,0.308
Not round my neck! Round the bed-post!,0.452,0.500,0.025,0.652,0.295,0.412
"I warn you of this, mother, that unless this tie is round my neck we dont go out to dinner to-night, and if I dont go out to dinner to-night",0.044,0.966,0.154,0.908,0.806,0.120
Wont; wont! Michael cried naughtily,0.626,0.323,0.015,0.428,0.130,0.270
"I know where it is, father, Wendy cried, always glad to be of service.",0.173,0.016,0.459,0.723,0.133,0.495
"I shall be sick, you know, Mr. Darling said threateningly.",0.723,0.734,0.357,0.254,0.664,0.127
"The point is, that there is more in my glass than in Michaels spoon. His proud heart was nearly bursting.",0.642,0.193,0.373,0.925,0.521,0.036
"Thats right, he shouted. Coddle her! Nobody coddles me.",0.022,0.127,0.314,0.851,0.336,0.070
that is her bark when she smells danger.,0.126,0.829,0.919,0.834,0.411,0.302
