text,joy,sadness,anger,love,thankfulness,fear
on ordinary occasions the boys would have swum alongside cheering.,0.740,0.924,0.091,0.353,0.374,0.228
"what is it? he cried, shrinking",0.297,0.226,0.943,0.835,0.778,0.100
she drifted in one direction and he was borne off in another both cheering.,0.362,0.503,0.267,0.568,0.953,0.133
"'thank you, peter.'",0.472,0.072,0.136,0.025,0.043,0.738
"i don't want to go to school and learn solemn things, he told her passionately",0.537,0.546,0.603,0.690,0.218,0.456
"secretly wendy sympathised with them a little, but she was far too loyal a housewife to listen to any complaints against father.",0.878,0.701,0.990,0.262,0.813,0.179
the most haunting time at which to see them is at the turn of the moon when they utter strange wailing cries.,0.512,0.176,0.463,0.955,0.997,0.009
not round my neck! round the bed-post!,0.452,0.500,0.025,0.652,0.295,0.412
not the pain of this but its unfairness was what dazed peter.,0.571,0.296,0.848,0.044,0.886,0.352
next moment he was standing erect on the rock again with that smile on his face and a drum beating within him.,0.157,0.703,0.595,0.097,0.433,0.266
wendy would have cried if michael had not been crying.,0.341,0.732,0.044,0.270,0.035,0.220
then at last he understood and clutched the nest and waved his thanks to the bird as she fluttered overhead.,0.330,0.798,0.904,0.364,0.983,0.033
and was much hated by careless nursemaids,0.012,0.185,0.587,0.294,0.968,0.086
"'me tiger lily,' that lovely creature would reply.",0.084,0.063,0.193,0.241,0.069,0.909
'hush. now i want you to consider the feelings of the unhappy parents with all their children flown away.',0.472,0.850,0.652,0.654,0.634,0.289
"he went off dancing through the house, and they all cried hoop la! and danced after him",0.096,0.398,0.074,0.065,0.623,0.131
"'who are you? how dare you? go away,' she cried.",0.560,0.647,0.034,0.040,0.453,0.182
"thats right, he shouted. coddle her! nobody coddles me.",0.022,0.127,0.314,0.851,0.336,0.070
"'tootles,' she cried, 'i appeal to you.'",0.134,0.465,0.053,0.054,0.077,0.692
he stood motionless one hand to his ear.,0.511,0.742,0.310,0.688,0.052,0.390
luff you lubber cried an irish voice that was smee's.,0.480,0.042,0.293,0.306,0.939,0.345
i thought all the fairies were dead,0.002,0.658,0.865,0.680,0.976,0.153
"i forget whether they found it, but at any rate they found corners, and they all fitted in",0.145,0.005,0.741,0.939,0.994,0.116
"o nana, i dreamt my dear ones had come back",0.413,0.167,0.722,0.476,0.004,0.210
shut up!.,0.678,0.233,0.101,0.373,0.072,0.383
"this was grumbling. 'we complain of john,' cried the twins.",0.144,0.135,0.393,0.637,0.877,0.417
"i warn you of this, mother, that unless this tie is round my neck we dont go out to dinner to-night, and if i dont go out to dinner to-night",0.044,0.966,0.154,0.908,0.806,0.120
"yes, he is rather cocky",0.161,0.791,0.268,0.839,0.717,0.551
"there was not a sound, and he drew himself up firmly to his full height.",0.028,0.354,0.947,0.776,0.869,0.109
the never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
mr. darling used to boast to wendy that her mother not only loved him but respected him.,0.144,0.715,0.632,0.108,0.580,0.124
"mrs. darling screamed, and, as if in answer to a bell, the door opened, and nana entered, returned from her evening out.",0.485,0.168,0.818,0.260,0.576,0.430
"'it will be worse than before she came,' they cried.",0.039,0.389,0.073,0.551,0.651,0.332
"'if the redskins have won,' he said, 'they will beat the tom-tom; it is always their sign of victory.'",0.814,0.193,0.144,0.731,0.104,0.557
he often said stocks were up and shares were down in a way that would have made any woman respect him.,0.048,0.268,0.406,0.315,0.950,0.114
but it would not blow over and soon the troublesome boy gave mrs. darling quite a shock.,0.669,0.329,0.556,0.177,0.446,0.324
you dunderheaded little jay! she screamed why don't you do as i tell you?.,0.352,0.502,0.123,0.098,0.050,0.052
